               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.029482,            0.006712,            0.035868,             0.92206,               0.831,             0.92357,             0.76002,            0.017035,           0.0022387,            0.018956,            0.070017,           0.0033314,           0.0033314
                   1,            0.018712,           0.0037008,            0.010929,             0.93445,             0.85424,             0.93241,             0.83757,            0.014683,           0.0038444,           0.0093103,            0.039578,           0.0062249,           0.0062249
                   2,            0.014751,           0.0028631,           0.0075577,             0.93195,              0.8696,             0.94929,             0.87169,            0.013848,           0.0040074,           0.0081939,           0.0086977,           0.0086783,           0.0086783
                   3,            0.012491,           0.0023004,            0.006216,             0.96106,             0.87024,             0.95335,             0.89308,            0.012223,           0.0036733,           0.0080615,             0.00802,             0.00802,             0.00802
                   4,            0.011675,            0.002001,           0.0054447,             0.91726,              0.8752,             0.94575,             0.89387,              0.0124,           0.0048192,           0.0081756,             0.00802,             0.00802,             0.00802
                   5,            0.011042,           0.0017948,           0.0049378,             0.91754,             0.87073,             0.94345,             0.89607,            0.011971,           0.0049804,           0.0079481,             0.00736,             0.00736,             0.00736
                   6,            0.010575,           0.0016434,           0.0046263,             0.91096,             0.88114,             0.94509,             0.90184,            0.011463,           0.0048152,           0.0078303,              0.0067,              0.0067,              0.0067
                   7,            0.010218,           0.0015316,           0.0044131,             0.89598,               0.908,             0.93982,             0.89816,            0.011871,           0.0061727,            0.007721,             0.00604,             0.00604,             0.00604
                   8,           0.0098758,           0.0014174,           0.0041701,             0.89577,             0.89669,             0.93408,              0.8967,            0.011892,           0.0053806,           0.0075405,             0.00538,             0.00538,             0.00538
                   9,           0.0095738,           0.0013238,           0.0040102,             0.89904,             0.88506,             0.92908,             0.89285,            0.012326,           0.0069477,           0.0079274,             0.00472,             0.00472,             0.00472
                  10,           0.0092868,            0.001235,           0.0038607,             0.88785,             0.88602,             0.93178,              0.8973,            0.012011,           0.0069431,           0.0079196,             0.00406,             0.00406,             0.00406
                  11,           0.0089874,           0.0011419,           0.0037321,              0.8913,             0.88961,              0.9321,             0.89823,            0.012358,           0.0072647,           0.0079103,              0.0034,              0.0034,              0.0034
                  12,           0.0086882,           0.0010544,           0.0036137,             0.89403,             0.89011,             0.93073,             0.89753,            0.012414,           0.0072394,            0.007977,             0.00274,             0.00274,             0.00274
                  13,           0.0083836,          0.00097023,           0.0035182,             0.88934,             0.89308,             0.93171,             0.89839,            0.012483,            0.007523,           0.0081224,             0.00208,             0.00208,             0.00208
                  14,            0.008086,          0.00089303,           0.0034436,             0.87856,               0.894,             0.93286,             0.89965,            0.012408,            0.007727,            0.008245,             0.00142,             0.00142,             0.00142
